ANOMALY,FULLTEXT
0,يكفي حزب الله فخرا انه حرر ربع مساحه لبنان وحمي الحدود من من الوهابين مثل داعش والنصرهما منع لبنا…
0,يصادف اليوم ذكري عيد الغدير الاغر سنه ١٠ه  وبيعه المسلمين لامير المؤمنين الامام علي عليه السلام بالخلافه سنه ٣٥ه  الشيخ م…
0,الانتصارات التي تحققت تثبت تصميم الشعب والجيش علي الاستمرار بضرب الارهابين حتي تحرير اخر شبر من الاراضي السوريه…
0,والسودان والعراق ولم ترسل داعش للعراق ولا القاعده كل بلاء الاسلام بسبب  سبتمبر وهي ذري…
0,كما كانت الدوله السوريه تقول دائما كل شبر من الارض السوريه سيعود لحضن الوطن والجيش بينما كان بعض المحللين يقولون…
0,راي مركز ابحاث امني امريكي انه من الخطا افتراض ان تنظيم داعش هزم كليا لانه لا يزال يشكل خطرا علي العالم وبدا يعاود الظهو…
0,كان من الاجدر ان لا تتوقف الحرب في سوريا الي ان يتم تحرير ادلب مع اخر شبر من ارض سوريا شاء من شاء وابي…
0,تمكنت الجامعه الاسلاميه من بناء شبكه كبيره من العلاقات الدوليه ونفذت اتفاقات تعاون وتوامه مع  جامعه ومعهد اكاديمي من اشهر…
0,ثوره سوريه مستمره ان شاء الله  وبدنا نتصر عكل خان ثوره  الله يحميه جيش احرار  نحن مستمرون ان شاء الله
0,متاكد انه بس جبهه النصره موجوده بالمدينه  ؟   وباقي الفصائل ليش ما ذكرتهم والمدنين يلي تم تهجيرهم
0,هلئ الجولاني انبسط  لسا بدو يفاوض ها الفصيل وذاك الفصيل وهذا مابصير يدخل للجبهه واذا دخل عا الجبهه ما…
0,لتشوف انو الدوله لما ما بتعمل تنظيم مدني وبتترك الناس تعلق بالعجقه بتكون عم تعمل هيك لمصلحت…
0,مافي اخطر علي الاسلام من الاخوان المجرمين  لباس اسلامي وبعض الايات للتحريض ومن ثم خدمه مشاريع امريكيه وقتل المسلمين
0,عيدك يابا الحسن عيد المجاهدين والاحرار في العالم السلام عليك يابا الفقراء
0,الجيش الوطني يدفع بمزيد من التعزيزات العسكريه باتجاه الخطوط الاولي وعلي العنصر السوري في هيئه تحرير الشام ان يقف الي جا…
0,التيار مع الدوله والشرعيه بس مع سلاح حزب الله الغير شرعي  المستقبل داعشين وفاسدين وابراء مستحيل بس بيرجعوا ب…
0,اللهم طهر بلادنا وبلاد المسلمين من كل عدو بحق محمد وال محمد
0,اللهم انا نسالك جنبك  اللهم كن للمستضعفين من المسلمين  اللهم ايد المجاهدين الصادقين  اللهم انصرهم وثبت قلوبهم واقدامه…
0,الواحد من يرد علي الناس لازم يكون رده منطقي واقعي لاتنضيم القاعده ايراني ولا داعش ايراني ولا…
0,اللهم في ساعات الفجر  نسال الله العلي العظيم ان تثبت قلوب المجاهدين الثوار وتنصرهم علي القوم الكافرين  خان شيخون  ادلب
0,حين سئل يوسف العظمه رحمه الله هل تظن انك بجيش قوامه ثلاثه الاف متطوع وستون جنديا نظاميا ستهزم جيش فرنسا المؤلف من عشرين ال…
1,بيعه الغدير عيد الله الاكبر  ائمه التيميه التكفيريون هيؤوا الاجواء لقياده الاجرام باسم المسلمين  …
0,نهنئ الامه الاسلاميه والمسلمين وخاصتا الحاقدين والمغرضين بحلول عيد الغدير  عيد الغدير
0,الي متي تبقون تخادعون انفسكم  داعش تنظيم تكفيري وهابي جمع اهل السنه من  دوله ومولته…
0,لم اجد اكثر سفاهه من هذه التغريده لان تركيا تدافع عن جبهه النصره الارهابيه وهي جبهه فيها توليفه مسلحين من عشرات الدول
0,بدا ثوره  الياس صوتنا  الكتائب اللبنانيه  حضره وزير البيئه بدك مطمر لحالك😈
0,الشور يجمع انصار المهدي  انهزاميه سلاطين التيميه تسببت بالتحاق المسلمين بجيوش الغزاه
0,ردا علي المحافظ البرتقالي نقول عندما كان اللواء ريفي بالسلطه قدم استقالته حتي ما يكون شريك بالفساد والفاسدين للتذكير فقط  بدا ثوره
0,الذكري الخامسه لانتحار الشابه الايزيديه جيلان برجس انتحرت قبل ان يطالها رجس داعش  لينحني البشريه جميعا اجلالا وا…
0,ريف ادلب  نفوق الارهابي  رائد كامل الجابر  علي ايدي ابطال الجيش العربي السوري وحلفائه علي جبهه ريف ادلب الجنوب…
0,الجيش العربي السوري وحلفائه يسيطر علي غرف عمليات ارهابيجبهه النصره في كهوف حرش خان شيخون ومغارات وادي الفتح و…
0,رئيس حركه حماس في منطقه الخارج ماهر صلاح لسنا جزءا من اي مشروع اخر سوي تحرير بلادنا ولسنا جزءا من اي محور او اي مشروع…
0,الجيش الذي لا يقهر👇👇  القناه  العبريه  💥روني دانيال يوصف ما جري في لواء جولاني قبل اسبوعين في الاشتباك مع احد ال…
0,تبا لابيك الذي انجب هيك خلفه نجسه  ومن الذي يدعم الكفار لقتل المسلمين اياك ان تكذب انكم ل…
0,والكفار يظحكون علينا نحن المسلمين  وحكامنا صامتون لانهم مجبولون علي الخيانه
0,تنظيم داعش الارهابي خسر جميع معاركه  في العراق وسوريا وليبيا واليمن وافغانستان  المعارك الوحيده التي ينتصر فيها ه…
1,عيد الله الاكبر  في بيعه الغدير قال ائمه التيميه التكفيريون هيؤوا الاجواء لقياده الاجرام باسم المسلمين  …
0,انت لم تعش مراره بزيبز بين المطرقه والسندان داعش من جهه والجيش العراقي من جهه الناس ماتت
0,الجيش الوطني  الفيلق الاول  الفرقه ١٤  لواء السلطان سليمان شاه اللواء١٤٢  دوره اشبال ارطغرل  جانب من تدريبات ك  مد…
0,نقاط المراقبه التركيه في ادلب تشبه نقاط المراقبه الدوليه في البوسنه ابان الحرب علي المسلمين هناك  والتواطئ التركي…
0,الجيش السوري الحر  لواء السلطان سليمان شاه  اجتماع القائد العام للواء محمد الجاسم ابو عمشه مع وجهاء ناحيه الشيخ حديد و…
0,للتذكير فقط اعتداء الحوثين ع الدوله وع اليمنين في مناطق عديده كان قبل العدوان حسب توصيفهم والتحالف دخل الحرب لاعاده الش…
0,ما هي الاوضاع في خان شيخون  اللهم ثبت اقدام المجاهدين الاحرار  خان شيخون
0,مصريه مرت بتجربه تتحدث فيها عن موقف انساني لجندي اسرائيلي تر وي ان في حرب  دخل جندي اسرائيلي علي زوجه عمها وعلي كتفها…
0,العراق يعتقل قياديا مقربا من زعيم داعش ابو بكر البغدادي
0,الحرب التي شنت علي الجيش من قبل القوات هي بالحقيقه حرب ل…
0,هنيئا للجيش العربي السوري تحرير خان شيخون
0,عروس المدائن في الدياحه ومرتع الاخوان المجرمين عفوا المسلمين وحامي مرتع قيادات داعش القذره بلدانهم بنعيم وبلداننا في ضيم
1,القاعده كفكر ليست حديثه بل تعود لنهايات القرن الثامن عشر مع تاسيس الدوله السعوديه الاولي ثم استمر الام…
0,لبو النداء  ها هي الشاميه ترسل الجند تبذل العتاد في سبيل نصره اهلها في حماه  لا غريب عليكم فانتم كما عهدناكم سباقين لطحن النصيريه
0,بريطانيا تسقط الجنسيه عن مواطن التحق بتنظيم الدوله في سوريا
0,يامنافق اما تستحي لو ان الدوله العثمانيه موجوده لماراينا الجرائم ضد المسلمين في كل بقاع الارض ولا ظ…
1,يابن الحرام ادلب تباد في هذه اللحظه وانت تقول جبهه النصره وتركت كل ارهاب روسيا والنظام
1,الصحيح اعفاء كل الشرعيه التي لم تقدم اي تحرير في الجبهات غير دعم الحوثي واطاله الحرب
0,اعتبر هذا المجوسي المسلمين السنه من الكرد كفار وافتي بقتلهم
0,عوده داعش  مقتل  جنود في هجوم للتنظيم الارهابي
0,وثائقي التحرير الثاني يروي اللحظات الاخيره لتنظيم داعش علي الحدود اللبنانيه السوريه
0,مقتل  جنود نيجيرين في هجوم لتنظيم داعش
0,صباحكم خير باذن الله  اللهم انصر جيش سوريه الاسد  واحم اللهم بواسله وابطاله علي الجبهه
0,اكيد جيش التواصل الالكتروني يحاول بشتي الطرق ان يصل الي هدفه الذي لم يصل اليه بالحرب الكونيه علي محو…
0,داعش يتوسع بشمال افريقيا بسبب حفتر وخطايا الجيش الامريكي مع حلفائه
0,السعوديه دوله مبارك كل المسلمين مع سعوديه لو ذهب هذه الدوله اصبح اخطبوط الايران تزرع الدمار والارهاب…
0,الجولاني عميل ويده في الجيش الوطني فيلق الرحمن فالحذر الحذر ياثوار
0,من الواضح ان رفض الجولاني دخول بعض الوحدات من الجيش الوطني وضع قيود وشروط محاوله لافراغ مفهوم المسانده والمؤازره من م…
0,ضلت الشرعيه الاخوانيه في الفنادق علي مدي سنوات وهم يرفعون اشاره النصر ويتبادلون التهاني امام مسؤلي التحالف لتاكيد الانتصار ثم…
0,سفاره جمهوريه العراق في لاهاي تنظم ندوه وقفه تضامنيه بمناسبه الذكري الخامسه لجرائم تنظيم داعش الارهابي ضد الايزيدين  …
0,لازم اخوان الشياطين واخواتن بالنصره والي متلن واسيادن الصهاينه يبعتن الجيش السوري لعند الحوريات
1,بيعه الغدير عيد الله الاكبر  ائمه التيميه التكفيريون هيؤوا الاجواء لقياده الاجرام باسم المسلمين
0,الاخوان المسلمين عار علي الاسلام والمسلمين
0,الاخوان المسلمين الارهابين
0,مبارك للجمهوريه العربيه السوريه  قياده وشعبا وجيشا تحرير مدينه خان شيخون الاستراتيجيه في ادلب الجنوبي لاستكمال تحري…
0,تعزيزات الجيش الوطني  احرار الشرقيه  لتعزيز جبهات ريف حماه
0,بعد سنوات من التطبيل والتزمير والنهيق والنباح لال سعود وكلابهم الوهابيه داعش والقاعده والنتيجه هزيمه كبري للكلاب الوهابيه  …
1,بيعه الغدير عيد الله الاكبر  ائمه التيميه التكفيريون هيؤوا الاجواء لقياده الاجرام باسم المسلمين
0,جيش العراق سيد جيوش المنطقه حين كان الخليج يرتجف هلعا من داعش كان جيشنا يمزق اشلاء الغزاه بهامات عاليه  حل الجيش مطلب امر…
1,التيميه التكفيريون هيؤوا الاجواء لقياده الاجرام باسم المسلمين
0,هو لا بديل عن الجيش لكن حضرتك مو في فتره من الفترات كنت ضد الدوله وكانت عندك قناه لمقاومه كما كن…
0,الاخوان بالاساس جماعه وتنبثق عنها حزب جبهه العمل الاسلامي اما الجمعيه المذكوره…
0,تحت جنح الظلام افرغت داعش سمومها علي ارضنا  وتحت جنح العراق انطلق الحشد الشعبي والجيش العراقي لانقاذ وطنهم🇮🇶  الحشد…
0,التنظيمات لم تملك بعد اختراقا سايبيري لتكنولوجيا الحراسه نموذج عن صور الكاميرات التي يستخدمها جيش الاحتلال كاميرات عا…
0,حتي العام  لم يحصل اي متدين علي رتبه لواء في الجيش الصهيوني لكن منذ ذلك الوقت حصل الكثير منهم علي هذه الرتبه وتولو…
0,عملك لفه ع تويتر وشوف شو عم يصير  هاد بسب النصره والتاني جيش الاسلام والتالت ما بعرف اي فصيل والرابع ب…
0,حرب علي غزه من قبل الجيش المصري  هو السيسي بيعملها بس الشعب المصري صابر علي السيسي بالعافيه وستكون تلك…
0,نستطيع ان نوقف هذه الحرب ضد اخواننا المسلمين في الهند باعلان صغير من قبل الحكومات العربيه وتحديدا الخليجيه باعا…
0,ايران تستفز المجتمع الدولي بواسطه الدوله العميقه ونشر المخدرات  حل الجيش مطلب ايراني
0,اللهم انتقم منهم  ومن ممن سكت  عن نصره المسلمين
0,تتزوج جنوبيه ولا مغربيه  والله المفروض من اخواننا في السعوديه يسون ثوره ويتزوجون من المغرب وروسيا لان المهر عندكم…
0,عزمي بشاره عضو في تنظيم الاخوان
0,ثالثا  لا يجوز قتل الكافر المستامن والمعاهد والذمي بحجه ان الكفار الان يقتلون المسلمين  ⃣ رابعا  الانتحار ل…
0,وكل التابعين لصهاينه من اخوان الشياطين والنصره ومن لف لفيفهم بدون ينزلوا تحت اجر الجيش السوري موبس خان شيخون
0,داعش يعلن مسؤوليته عن هجوم انتحاري استهدف حفل زفاف بافغانستان
0,سعيد ل لا دوله في لبنان من اجل تنظيم معارضه في وجهها ومن يدير المال والاقتصاد والدوله والانماء والقضاء هو فريق واح…
0,اللهم فرج عن اخواننا المسلمين في كل مكاناللهم احفظهم وعافهم واشف جرحاهم
0,فتح جبهه جديده علي العدو امن من تكدس المجاهدين فتكثر الخسائر وتخور المعنويات  فتح جبهه لا يقدر ع…
0,لا يحب الجيش ولا الوطن من يحمل لواء الدفاع عن العملاء في لبنان  لا للعفو عن العملاء  لا وطني ولا حر
0,الجيش الوطني  الفيلق الاول  الفرقه ١٤  لواء السلطان سليمان شاه اللواء١٤٢  العرض العسكري لتخريج دوره اشبال ارطغرل من معسك…
0,الجيش الوطني  الفيلق الاول  الفرقه ١٤  لواء السلطان سليمان شاه اللواء١٤٢  جانب من تدريبات الصاعقه لدوره اشبال ارطغرل  …
0,الجيش الوطني  الفيلق الاول  الفرقه ١٤  لواء السلطان سليمان شاه اللواء١٤٢  دوره اشبال ارطغرل  تدريبات ك قوات خاصه و…
0,الجيش الوطني السوري  الفيلق الاول  لواء السلطان سليمان شاه  المكتب الامني  لحظه تفجير السياره المفخخه  …
0,عاجل تنظيم الدوله يعلن مسؤوليته عن التفجير الذي استهدف حفل زفاف غرب العاصمه الافغانيه كابل وادي لمقتل عشرات
0,ايران قائد القوه البحريه لحرس الثوره الاسلاميه علي رضا تنكسيري وجود القوات الاجنبيه يزعزع الامن في المنطقه
0,فلسطين الجهاد استهداف الشبان الغاضبين ضد الارهاب الممنهج والحصار واقتحام الاقصي حرب معلنه علي شعبنا الفلسطيني
0,افغانستان داعش يعلن مسؤوليته عن الهجوم الانتحاري الذي استهدف حفل زفاف في العاصمه الافغانيه امس
0,افب تنظيم الدوله الاسلاميه يتبني الهجوم الذي اوقع اكثر من ستين قتيلا في كابول
0,اللهم اجعل هذا البلد امنا مطمئنا  رخاء سخاء  وسائر بلاد المسلمين اللهم احفظ علينا امننا  وديننا  وبلادنا اللهم من ار…
0,يطالبون السعوديه بتحرير المسجد الاقصي من اليهود رغم ان عدد سكانها لا يتعدي  من مجموع المسلمين  اين دور ℅ ربما دورهم الاناشيد
0,في حرب التحرير تحرر الجنوب بفضل التنوع في المقاومه بحيث ان الناس كلها اشتركت بالقتال ضد العدو الواحد …
0,لماذا اغتيل زهران علوش بينما الجولاني زعيم القاعده حي يرزق وصامد حتي اخر مربع تحتله المعارضه السوريه في ادل…
0,الغنوشي صف اول في الاخوان وهو اول من ارسل الجهادين والنكاحات الي سوريه
0,فان كنت لا تعرف عن مناصرته لجيش النظام ضد داعش فهذه مشكلتك انت وحاول ان تعرف حقيقه ذلك
0,جيش الافلام هذا المسمي صار عند عوام المسلمين ومعروف لجميع المسلمين اعماله الاجراميه ب…
0,اوقفوا هذه الحرب الطائشه واحقنوا دماء المسلمين
0,اللهم وحد كلمه المسلمين وانصرهم لا ناصر لهم الا انت ولا مغيث لهم الا انت الهي لا تمكن كافرا ولا ملحدا…
0,اليوم الهيئه غدا جيش العزه بعد غد احرار الشام والجبهه الوطنيه الاسبوع القادم الجيش الحر الاسبوع الذي يليه درع الفرات وا…
0,لم يبق مملوك ومولي معقد من لكنته وسحنته بيضاء او سمراء واجنبي وغريب عنا وعن بلادنا الا واحتلنا وحكمنا باسم الخلافه وال…
0,بعد اجتماع بعبدا هناك خطوات اساسيه منها ضبط المعابر غير الشرعيه وقرار حازم بارسال الجيش واقفالها والغاء كل العقود الوهمي…
0,اسامه بن زيد قاد جيش المسلمين وعمره  سنه  بس للتذكير يعني  اذا ما فهمت…
0,الساحه الشاميه في وضع حرب وتخبط لا توجد مؤسسات للتنظيم ولا الكفائات والاختصاصات في اماكنها  وانتم تنشرون اخطائنا وت…
0,دعائنا علي الكفار ليس علي المسلمين
0,ان كانت داعش قد ارتكبت جرائم حرب اقتضي تشكيل تحالف دولي لاجل التخلص منهاوهي فعلا قد ارتكبت جرائمفلماذا لا يتم تشك…
0,لو كانت هذه الصوره لاسري تم قتلهم علي يد تنظيم داعش لهجمت كل قوي العالم لتحرير المنطقه وتدمير التنظيم  اليس نظام الاسد…
0,هذا اول تصريح تركي صريح عن هويه الصراع الجاري في سوريا الان  اردوغان «  المشكله في المنطقه ليست في تنظيم «داعش» بل حرب م…
0,حرب افغانستان واشنطن ستسحب  الاف جندي امريكي بعد اتفاق مع حركه طالبان
0,نهضه الامام الحسين ع  مشعلا ينير درب الاحرار  في كل زمان ومكان من  اجل اعلاء كلمه الحق  وارساء معالم العدل الالهي  ستبقي ثوره…
0,يكون التضامن عندما يكون قرار الحرب والسلم بيد الدوله وليس بيد حزب قراره في طهران
0,العراق المنهار في  سيطر داعش علي الموصل الي عدد سكانها اكثر من مليون  في  دخل الجيش العراقي ومليشيات الحش…
0,الحديث عن حل جبهه النصره فيه محاوله لتضليل الراي العام والامر خارج اراده العنصر السوري البسيط في الجبهه او المهاجر الف…
0,لم يعد يخفي علي احد ضرر عصابه جبهه النصره والجولاني علي احد  كنت قد كتبت قبل سنوات علي الفيس وتويتر اني لا اخشي علي ادلب من…
0,واهم من يظن ان هتش جبهه النصره ستحل نفسها بنفسها  هذا التنظيم خرب كل الثوره السوريه مشان مصلحته وما مستعد انو يحل نفسه كر…
1,هيئه تحرير الشام  لله دركم وعلي الله اجركم  انتم احد اهم ركائز الثوره السوريه مع بقيه الفصائل المناهضه للاسد
0,شيخه موزه والاخوان المسلمين
0,عاجل القياده المركزيه الامريكيه قواتنا وجهت ضربه لمنشاه تابعه لتنظيم القاعده شمالي ادلب ب سوريا رويترز  ارم نيوز …
0,اخوان بعض الاطباء بمجرد ما يستلم الكرسي  ينقلب الي اغبي كل الحيوانات ويتكلم بغباء دوائر الدوله لا تشهر افلاسها ياطباء باع باع باع
0,لولا هذا الرجل لكانت داعش والقاعده والوهابيه تمارس جهاد النكاح في القاهره ودمشق وعمان والرياض وبيروت وبغداد
0,انت لا تملك من الشهامه شيئ  ولو كنت كذالك لم تكن تشتم الاخوان المسلمين وهم في سجون الظلم ولا يستطيعون ان يردوا علي امثالك
0,حسب ما سمعته من المسؤولين الصهاينه الذين اجرت معهم اذاعه الجيش الصهيوني مقابلات بشان قصف حزب الله علي القاعده في شمال فلس…
0,لنحذر جميعا من فكر التيميه  انهزاميه سلاطين التيميه تسببت بالتحاق المسلمين بجيوش الغزاه
0,اصل التيميه عقائد منحرفه  ان الخلافه والامامه جعل الهي بخلاف الفكر التيمي التكفيري
0,اخطر ما في المشهد  ليست عمليه محدوده  ولا غياب الدوله ولا امكانيه تكرارها  فقد سبق ان خضنا الحرب  نحن والدوله ولم نكن نع…
0,اذا جيشكم غير مستعد وغير جاهز للقتال لماذا تورطوا انفسكم في حرب عبثيه ياغبياء  حكام مملكه الشر السعودي الي زوال باذن الله
0,لو انني امتلك سلاح وعتاد جبهه النصره العهره لاشعلت اماكن تواجد قوات النظام بريف حماه وادلب ببركان من الصواريخ ثارا…
0,الجميل هناك خطوات اساسيه منها ضبط المعابر غير الشرعيه وقرار حازم بارسال الجيش واقفالها والغاء كل العقود الوهميه ل…
0,حين انهارت الدوله بفعل فاعل وخيانه الشريك والاخ كانت فصائل الحشد في الصف الامامي للجبهه حتي ان نصرهم الله فكانوا كالبنيان…
0,في لبنان لا يوجد مقاومه بل يوجد حزب ارهابي مجوسي قتل من المسلمين اكتر من اسرائيل واغتال رجالات لبنان وينشر الفكر الشيعي الا…
0,من اسباب الثوره العربيه علي الدوله العثمانيه سياسه التتريك التي كانت تهدف لاحلال اللغه التركيه مكان اللغه العربيه و…
0,الميليشيات الي انته تسميها كان الها موقف ايجابي بتحرير العراق من داعش الي اجانه من دول الخليج والي…
1,اللواء د زايد العمري خبير استراتيجي ومحلل سياسي الهدف القادم ل بشار الاسد هو تحرير سوريا من السورين من اجل جعل…
0,ثوره حتي النصر  مستمرون بثورتنا  مستمرون بالدفاع عن اهلنا  مستمرون بتحرير ارضنا  مستمرون بقتال المحتل والقاتل  مستمرون ب…
0,وليش تريد العشائر اسلح من الدوله وتسلح مو اكو دوله وجيش كان من المفروض يطلبون جيش لحماي…
0,اللهم بعزتك وجلالك احق دماء المسلمين في كل مكان ومكن المجاهدين في كل البلاد من اعداء الاسلام والمسلمين ليبيا اليمن فلسطين
0,سراقب تنتفض ضد هيئه تحرير الشام  بندوسهم بندوسهمكلاب الجولاني ندوسهم  سوريا حره حرهجولاني يطلع بره
0,فلسطين الجبهه الديمقراطيه لتحرير فلسطين تحي المقاومه الاسلاميه علي عمليتها البطوليه
1,كذاب داعش جت ب  والثوره قامت  ثوره شعبيه ضد الظلم وسلميه كما قال الاهبل بشار
0,الاستعراض اله اهله وارجاله والمقاومه الها زلمها الخياله  لواء يوم الموعود  جيش الامام المهدي
0,لك لا تنسي يابو الحسن بانه كان مع الدوله الاسلاميه كذلك لا تزور التاريخ رحم الله والديك
0,ابو الفاتح مدري المسكر الجولاني🍦  توفيق شهاب🍌 اشتاق اليك  الثوره فقط وفقط وفقط مستمره حتي النصر  حظ اوفر لاصحاب المشاريع الدكتاتوريه
0,سراقب  التي امتهنت الصراخ والنار بوجه كل معاتيه الارض الذين مروا علي ارضها هي ثوره حتي مطلع الفجر ⁦  الجولاني عدو…
0,ان تستيقظ متاخرا  خير من الا تستيقظ ابدا  من بدايهالثوره حذرنا الشعب من القاعدهبرهنا لهم علاقتها ب ايران وماف…
0,ليش الاهالي معهم اسلحه   ؟   هي محاوله تركيه لاخراج جبهه النصره وسحب الذريعه من الجيش السوري لتحرير المدينه
1,علي الجيش الاسرائيلي الدخول الي لبنان واخراج الجرذ حسن نصر الله من تحت الارض الدوله التي تحمي حزب الله هي دوله…
0,اخوك الكلب الاجرب عبدالله المحيسني السعودي الساقط مفتي جبهه النصره الارهابيه…
1,قصدوا بسبب عصابه حسن هالحرب والاختراق ليش وين الدوله الي ما بتقدر تصادر سلاح الحزب ولا بس دوله وجيش ع الشعب السوري المهجر
0,بحمد الله وفضل سواعد المجاهدين وعد الله صدق بنصره من نصره  في عاشوراء نقول للامام الحسين ع انبقي بعدك لا طي…
0,اكد الشيخ اسامه حداد المفتش العام للاوقاف الاسلاميه في لبنان ان “الدوله العثمانيه لم تكن دوله محتله لبلادنا بل كا…
0,في مثل هذا اليوم قبل سنتين اعلنا تحرير مدينه تلعفر من قبضه داعش الارهاب التي كانت تعتبرها من اقوي حصونها ولكن بفضل الله…
0,فلسطين المحتله وسائل اعلام اسرائيليه عن لواء احتياط في حال وقوع قتلي في صفوف الجيش فانه من الخطا الاستراتيجي الرد با…
0,الي بايدو قرار السلم والحرب هو بيكون الدوله  الدوله الحقيقيه بلبنان تتمثل بالحزب  اما باقي ما يسمي رؤساء وزاء ونواب هودي…
0,ياقاده الثوره والجهاد  ان سقطت ثوره الشام فستفقد الامه ثقتها بالجهاد  وستفتن الامه في دينا  فالله الله لا تفتنوا الناس عن د…
0,ما بدك حرب ياساره بس بدك سلاح حزب اللههيك ما بتظبطالسلاح لازم يكون بايد الدوله
0,برايه تنظيم القاعده بارك الله فيك
0,استاذ خالد  الارهاب العالمي من القاعده الي طالبان الي داعش والنصره وكل مسمياته صناعه امريكيه بريطان…
0,رعب الشمال مافي لزوم اسرائيل تعمل حرب لتدمر لبنان اجا مين بالداخل دمر الدوله عوضا عنها
0,جيش الاحتلال يعلن رفع القيود في الجبهه الداخليه  احفاد
0,رد حزب الله ضعيف جدا لم يصب اي جندي من جنود جيش الاحتلال بالعمليه  هل هذا هو الرد الذي تحدث عنه حسن نصرالله   ؟
0,المقاتل السوري المغرر به في تنظيم جبهه النصره يتحمل مسؤوليه اضعاف الجبهه الداخليه نتيجه تنفيذ اوامر الجولاني والغدر…
0,وسائل اعلام اسرائيليه عن لواء احتياط في حال وقوع قتلي في صفوف الجيش فانه من الخطا الاستراتيجي الرد بالنار
0,شرعيه الوهم تريد ان تعيد عدن الي مربع الارهاب  الي مربع الموت والنهايه عبر تفريخ الدواعش في مفاصل الدوله  ولهذا قاو…
0,اين الدوله والعهد القوي حزب الله بيدخل لبنان في حرب واولا المهجرين بيكون المسيحين لانستهينو بالحرب ممكن تبقا سنوا…
0,الجولاني جاء بثلاث مهمات اساسيه  القضاء علي فصائل الثورهو رموزها  تسليم المناطق للنظام باخراج حربي  تسليم…
0,خبر عاجل  تلفزيون لبنان اسر جندين اسرائيلين في مزارع شبعا واصبح تحرير سمير القنطار قريب😂😂
