id,ANOMALY,FULLTEXT
26,0,اسواق المال العالميه تترنح اليوم بفعل تصريحات الرجل البرتقالي ترمب عن حربه الاقتصاديه مع الصين التوقعات بخساره ف…
27,0,الراب المهدوي تهذيب للاخلاق  سلاطين التيميه الاجراميون يخالفون الدين والاعراف بقتل رسل الملوك والتنكيل بهم  …
28,0,ياخوانا نفسي في جزمه لي كم 💔💔  وزمنها ضيق عديل شوفونا🙇🏻‍♂️🙇🏻‍♂️  النبي فيكم ريتويت ♥️♥️
29,0,ماهو شعور المسلمين حينما يروا اموال الحج والعمره تحول الي ياقوت والماس يهادي حكام السعوديه به زوجات رؤساء الغرب  ا…
30,0,اكد الرئيس هادي بانه الرقم الصعب في اليمن الذي لا يمكن تجاوزه لا في سلام ولا سياسه ولا تفاوض ولا حرب ومساله عدن ليست خلاف…
31,0,الجيش الكويتي هوالذي انسحب للسعوديه بوزير دفاعه ورئيس اركانه وقياداته وعدد من الوحدات البطله التي قاتلت بشرف وانسحبت ب…
32,0,دولتنا العليه بتعتبر النساء اللبنانيات مش مواطنات غير مؤهلات وما الن الحق بمنح الجنسيه لاطفالهن واسرهنبس هيدي الدوله ن…
33,0,اطراف كثيره تريد تضعيف العراق اقليميه ومحليه علي سبيل المثال المكون الكردي كان يقف امام تسليح الجيش العراقي
34,0,الحب حرب  قليل من انتصر فيها
35,0,مع الاسف الايرانيون يستخدمون ممن يؤيدهم من العرب كاداه بحجه تحرير فلسطين وفي الحقيقه ليس هناك شيء من…
36,0,اللهم امين يارب العالمين وجميع ابناء المسلمين
37,0,ماتعرفوش انتوا الواسطه بتاعه الجيش دي بتعمل ايه ولا ايه ولا ايه
38,0,ميزه محدد يعرفها فيك  رتويت حرب
39,0,فيه نقطه مهمه ان الاخوان المختفين وسطنا يشغل بعضهم مناصب حساسه ولك ان تعلم ان ادارات كهرباء مدن في ال…
40,0,لعراقتهم تبلور عند اليمانيون فكر ناضجا عن مفهوم الدوله فضربوا فيها الحكم والامثال ومنها  لا تستهين بالدوله ولو كان…
41,0,مره طلبنا نحضر نقاش للرئيس مرسي رحمه الله ولا انسي كلمته  فيه مثلث بيتكالب علي الثوره والثوار ولايريد لمصر ان تنهض راسها اسرائيل…
42,0,سيده مش مسلمه تبيع مجوهراتها لعتق رقاب اطفال من قبضه داعش  الازهر وشيخ الازهر تحديدا كان عليه ان يقوم بهذا…
43,0,وعلاج طبيعي لواءات 😂😂✋
44,0,ايوا دخلنا بقا ف فلاش باكات لايام ما كانت كل حياتي عن الثوره والاغاني السياسيه  انا في مره اتخانقت مع ضابط قلتله ا…
45,0,الاخوان دنق  اليمن تكتب نهايه الامارات
46,0,جيش الاحتلال الاسرائيلي ينشر اسماء ضحايا حزب الله جراء الغاره الاخيره قرب دمشق  احفاد
47,0,انباء عن ضربات اسرائيليه مزعومه في شرق لبنان  منذ ساعه  واستهداف موقع للجبهه الشعبيه لتحرير فلسطين
48,0,الراب المهدوي تهذيب للاخلاق  اين تيميه من خيانات ائمته المارقه للبلاد الاسلاميه   ؟
49,0,الراب المهدوي تهذيب للاخلاق  الاهواء والميول تتحكم باراء التيميه مدلسه التاريخ
50,0,الراب المهدوي تهذيب للاخلاق  هل ائمه المذاهب يحللون الغناء وشرب الخمر حتي يستبيحه ائمه التيميه الدواعش   ؟   …
51,0,الراب المهدوي تهذيب للاخلاق  التكفير والسبي وبيع الانسان المسلم وغيره اتي من ائمه التيميه الدواعش  …
52,0,الراب المهدوي تهذيب للاخلاق  السيد الصرخي جعل من الشباب قدوه ونبراسا يحتفي به كل الاحرار
53,0,مرحله السيسي البشعه الداميه هي مرحله ضروريه لمصر وشعبها  فقد كشفت حقيقه مؤسسات الدوله المصريه وكيفيه تاسيسها وطبيعه عملها و…
54,0,اللواء متقاعد عبدالله القحطاني  حكومه المملكه الرشيده وقواتها المسلحه استطاعت ان تثبت للعالم انها اذا وعدت صدقت و…
55,0,اليمن لن يبقي موحد وعلي دول التحالف الداعمه للشرعيه عليها ان تدرك  ان اهل اليمن الجنوبي ثقافتهم مختلفه عن ثقافه شمال ال…
56,0,العمي ما اكمخ البني ادم لما يتفزلك ويصير يتفنن ليلاقي شي يحكي في  الافلاس الفكري يوصل الامور الي هذه المواصيل  الحرب علي ا…
57,0,مافيه شك ان الاب لايعوض  الله يرحمهم ويغفر لهم واموات المسلمين
58,0,كل المؤشرات تؤكد غياب مصلحه لحزب الله في التصعيد  فهو يختبئ وراء ال١٧٠١  جيد ان يعترف الجميع ان قرارات الشرعيه الدوليه تحم…
59,0,من القائد الذي يستطيع ان يوحد صفوف المقاتلين في سوريه لتحرير الانسان قبل الارض من القائد الذي يستطيع مواجهه اسر الم…
60,0,يارب حيلهم بينهم هما الاثنين وجهين لعمله واحده هم من قتلو وافسدو ودمرو وهجرو وشوهو الاسلام والمسلمين…
61,0,📌في الذكري الثانيه لمحاوله التطهير العرقي لجيش ميانمار ضد اقليه الروهينغا المسلمه في اقليم اراكان  🔸قتلوا ما لا يقل عن …
62,0,دولار الكرامه  حكومه حمدوك  ومثلما استطعتم انتزاع حقكم بالدوله المدنيه فانا علي ثقه تامه بانكم قادرين علي جمع عشره وع…
63,0,حتي الجيش لا يحترموا مناقبيته وهم يهمهم ان لا يكون في مركز قوه
64,0,اليمن طارق صالح يطالب ب“اصلاح الشرعيه“ لاستعاده الدوله المختطفه
65,0,⁦  لا تخشي الارتباط بامراه قويهقد ياتي يوم وتكون هي جيشك الوحيد  صوره التقطت في ايرلندا عاملفتاه تطلق الرصاص من بندق…
66,0,اللواء متقاعد عبد الله القحطاني حقا علي هذا الشعب السعودي الابي ان يفخر بقيادته وقواته المسلحه الذين يدافعون عن…
67,0,طب انا حلمت اني في مظاهره وقعدنا نغني مش ناسين التحرير ياولاد الوسخاه
68,0,فيما كان ملك الهند مودي يضطهد المسلمين ويهينهم وبعد ان ضم كشميرواهلها لم يجدوا من يعينهم كرمه اب…
69,0,اللهم السكينه التي تطمئن قلبي من عندك اللهم سخرلي جندك اللهم سخر لي الكون بما فيه اللهم حقق لي مرادي بافضل التدابير 🙌🏻
70,0,والله عيب ان الي يشره عليكم السفير الامريكي في قطر  كلنا ندري ان صلاحيتكم انتهت من زمان لكن علي الاقل حافظوا علي الحد الادن…
71,0,انا الجيش ل نفسي  وانا السيف ذاته  انا الذي اخذت الحياه قلبي لترد الي عقلي
72,0,الجوزاء  اب  انتبه الي مصروفك فلادخار شي جميل وانت لا تعرفه فلا تفكر فقط باليوم وفكر بالغد فانت بحاجه الي التنظيم عل…
73,0,اعطني سلاح روسي وجندي منوفي وعلبه سوبر ورومي وسوف احكم العالم
74,0,الحرب في اليمن  محافظه شبوه  امتداد المعارك بين القوات الحكومه والنخبه الشبوانيه…
75,0,جيش البامبرز يصيبهم الرعب من اي شئ
76,0,المسلمون الذين لا يهتمون بالسياسه  يحكمهم سياسيون لا يهتمون بالمسلمين  نجم الدين اربكان
77,0,الاصح هو ان الدول العربيه تدعم هذه الحرب
78,0,اسرائيل لو تحولت للاسلام حكام العرب هيعلنو عليها الحرب
79,0,ابدا من البؤس ثم انتقل الي الاكتئاب تجد نفسك فجاه تعمل علي الانتحار صباح الخير😊
80,0,عراق القيم  اعلنت قياده الحشد الشعبي في الانبار  عن تدمير كهف يختبي به الارهابين من  داعش وقتل من فيه من خلال ضربه  جويه وجه…
81,0,عيناك حرب ما خاضها مقاتل الا انهزم
82,0,الريس حربي
83,0,اللهم انصر الاسلام والمسلمين في كل مكان
84,0,ان الذي حصل امس في حاره حريك تشبه قصه راجح الكذبه علي اجهزه الدوله ان يكون لديها الشجاعه لكشف ما حصل بكل مصداقيه و…
85,0,الا يتعض هؤلاء التنظيمات من بن لادن والظواهري وان هذه التنظيمات لا تنشيء دوله وانما هي عباره عن اداه اسرائيليه لاستنزاف قوي المنطقه
86,0,انا اكره الحرب
87,0,عاجل  مصادر للجزيره قوات الجيش الوطني تسيطر علي مثلث النقبه الاستراتيجي بمديريه حبان بشبوه جنوب شرق اليمن
88,0,عاجل  مصادر للجزيره قوات الجيش الوطني تسيطر علي مركز مديريه حبان ومعسكر الرمضه الاستراتيجي بشبوه
89,0,هه  اكيد المدرسه الهه دور  الاهل الهم دور  المقربين الهم دور  والعنصر الاساس الدوله  وطعا هل كلام م…
90,0,هل سيكون القرار بيد المدنين ام هو من اختصاصات العساكر   ؟   تاخر هذا القرار او حتي عدم طرحه يؤكد ان الثوره لم…
91,0,هلق عسكريا المقوينا هوي جيش نص سلاح الحزب نص وسبعه ايار عتبري الجيش عمل مداهمه وقتل ناس لانن بيستاهلوا ال…
92,0,⭕  دخول الطيران الحربي اجواء قطاع غزه  منبر فلسطين
93,0,ما ينتظر من العالم  هو موقفه الشرعي لا علمه الشرعي  ولا خير فيمن حفظ الصحاح ثم وقف في صف الظالم السفاح  ول…
94,0,عاجل  مصادر للجزيره اللواء الاول نخبه شبوانيه المدعوم اماراتيا في منشاه بلحاف يعلن ولاءه للحكومه اليمنيه
95,0,ثوره الدعاء دعاء الجوشن الصغير  الهي كم من عدو انتضي علي سيف عداوته وشحذ لي ظبه مديته وا…
96,0,بقينا بنتجادل احنا اوي خسرنا الحرب
97,0,رتبت هيئه العلم والاحياء اجتماعها العلمي الخامس في مقر اتحاد العلماء والمدارس الاسلاميه بمدينه دياربكر  وشارك في الاجتما…
98,0,جبهه طرابلس ”تتصدع“ مع احتدام خلافات حول اداره السراج للمعركه
99,0,طيب ليكي سؤال اذا بدك تحكي بمستوي عصعيد الجيش مع دوله تانيه شو منطلع قدام جيوش العالم من دون سلاح حزب الل…
100,0,لم تكن مواقفي العلنيه منذ عام  وحتي اليوم تجاه جبهه النصره وقائدها الجولاني مبنيه ابدا علي السياسه او الخطاب السيا…
101,0,شكرا لك اولا ثانيا لم تجاوبي علي سؤاله نحن مع اي ثوره او انتفاضه شعبيه في وجه اي مستبد او طاغيه لنا ع…
102,0,لم يفاجئني خطاب نصرالله اليوم  ولكنه جعلني استعرض مشهد الدوله فرايته اشبه بالركام  لا سياده وسلاح متفلت  دستور مغيب  محاصه…
103,0,لاصم سرق ثوره الشباب بالظهور لانه يعرف كيف تسرق الثورات خاصه ايام اتحاد الطلاب مع الكيزان ومع الشيوعين ومع الناصرين…
104,0,قياده تحالف دعم الشرعيه في اليمن  القوات المشتركه للتحالف تعترض وتدمر سته صواريخ بالستيه اطلقتها المليشيا الحوثي…
105,0,انظروا للحرب الشريفه من جانب انصار الله والحرب الخبيثه من جانب بني سعود وتحالفهم فهم يقصفون المدني…
106,0,لن اتوقف عن الكتابه في الصبر من القران والسيره ونصره الحق ان شاء الله هذا يقيني ولن اتنازل عنه لمجرد ان هناك من يعتبره مخدرا…
107,0,اوقف علي الحيط علي اجر ونص وانطرنا 😆  سلما حربا بايعناك
108,0,وبنظري تفسير الي يتعملو المدارس لنقص في التربيه الاسلاميه عند الاهالي حديث الرسول حيث قال صلي الله عليه وسلم  من ر…
109,0,قلت وانا ابكي  لا تخطئ الفهم ان حزني ليس علي احد بل علي حالي لم اكن هكذاوان الحرب مع الحياه ثقيله للغايه ولا كتف اميل عل…
110,0,لضروره الالتفاف العلني بتنفيذ ال١٧٠١ من داخل مجلس الوزراء  تحولت مقولهشعب وجيش ومقاومه  الي نقطه ضعف وطنيه  ولحزب الل…
111,0,بعد استشهاد والده اسو جلال خلال معركه مع عناصر داعش في تاريخ  في ناحيه كولجو في قضاء كفري الواقعه ضمن الم…
112,0,شاهد قصف اسرائيلي علي مركز للقياده العامه الجبهه الشعبيه لتحرير فلسطين التابعه لاحمد جبريل واصوات المضادات الارضيه تسمع بو…
113,0,مابتظبط ماحدا بقاتل غيرنا ماحدا مستعد يموت كرمال وطنو غيرنا ونحنا موافقين لان نحنا مش نافعين الا بالحرب ه…
114,0,ا هاني الحجي  المملكه دائما تستضيف المؤتمرات والندوات الاسلاميه وهذا اكبر دليل علي اهتمامها بخدمه ونشر الاسلام بي…
115,0,كان مسؤل في ما يسمي جيش القدس والده عضو قياده فرقه في حزب البعث بعد زوال نظامهم وشمول والده باجتثاث البعث اصبح مديرا لجهاز اس…
116,0,ماعنده الا مناطح حرب وحلب وقنابل  عزالله انك كا بوي 🐎🐎 علي فكره البريطانين يرون الامريكان كابوي…
117,0,كلام ذهب اساس مش مشكلتهن بقرار الحرب يلي مخوزقين منو انو الحزب معو سلاح وبهدد وجود الاسرائيلي يلي هني بيشتغلو عندو
118,0,استغرق تشيده  سنوات افتتاح مسجد «فخر المسلمين» في الشيشان ليكون اكبر مسجد في اوروبا ويتسع ل  الف مصلي
119,0,مرشد فساد وما وراء الكواليس  افسد من اللي شافها الشعب كله  انا ماحب اخوان من طاعوا بليس  انا احب اخوان  من طاعوا الله
120,1,الجار كان يبلغ عن جاره انه اخوان للخلاص منه  الظاهر ان الامنجيه ايام جمال …
121,0,مجلس الدوله ينتصر للعمال ويلزم الحكومه بتثبيت العماله المؤقته
122,0,اروع ما في الامر  من جهه دينيه علي الاقل  ان كتاب المسلمين المقدس وكتاب اليهود المقدس قد اتفقا علي زوال اسرائيل
123,0,اعلان حاله الحرب  وماذا انتم فاعلون قبلتم بالذله والمهانه واستباحه ارض العراق لتكون ساحه حرب  الا لعنه ا…
124,0,ٲحببت ودافعت عن قاده جيش الاسلام لانهم من جيش الاسلام وساستمر بالدفاع عنهم ماستمروا في هذا الصرح العظيم وعرفتهم لان…
125,0,اصبح كلشي ثابت وعلي المكشوف ان الحرب حرب عقائديه
126,0,مليار ونصف لا يستطيعون انقاذ المسلمين المظلومين في اصقاع الارض ولا يستطيعون تحرير فلسطين من بضعه…
127,0,الطيران الحربي الاسرائيلي فوق الجنوب وبيروت  محاوله للتخويف من حرب اذا رد حزب الله عسكريا باعتقادي اخذ القرار اذا طا…
128,0,المعلوف حان الوقت كي يصبح قرار السلم والحرب في يد الدوله اللبنانيه وعلي اللبنانين ان يتوحدوا تحت رايه العيش المشترك و…
129,0,تعد كتائب حزب الله الفصيل الاكثر حرفيه واتقان لعملياته العسكريه قياداته سريه وعملياته نوعيه  تمتلك الكتائب اغلب ا…
130,0,معك حق هم جبهه النصره من الداخل السوري تعتقل الاحرار لتبقا هيا صاحبه القرار  وهم ت…
131,0,تقول ايران اعلنت الحرب علينا بحشدها الشعبي في العراق والمعروف ان الحشد شكل بفتوي عراقيه لصد داعش وهو ما…
132,0,والله لازم نتعلم فكره تنظيم الوقتاغلب النفسنه بحياتنا سببها سوء تنظيم الوقت سواء بالنوم او الاكلحط لنفسك جدول حياه مم…
133,0,امريكا واسرائيل كفار تدرون لو لا  والعراقين مسلمين  والحشد الشعبي مسلمين  يعني الكفار اعتدو عل المسلمين  افتهم…
134,0,وحين يخبرونك عن جهاد النفس  اخبرهم ان اصدق جهاد هو قدرتك علي ان تبقي هذا القلب نقيا صالحا للحياه الادميه بعد كل تلك المفاجا…
135,0,علي عكس كل الاجواء السائده حاليا هيدي التغريده في حب تيار المستقبل وحزب الكتائب المستقبل هو شريكنا في الدم خلال ثوره الار…
136,0,فائده مهمه توصلت اليها عن تجربه عمليه  كل التنظيمات والتشكيلات والفصائل العسكريه التي وجدت بعد تاسيس الجيش الحر ولم تنت…
137,0,اللهم ابعد الحرب عن المسلمينقولو امين
138,0,انا خايف انه الرد الايراني يكون عن طريق اذنابهم في غزه  وتصير عنا حرب تاكل الاخضر واليابس  مثل حرب ٢٠١٤  الحيا…
139,0,بسم الله الرحمن الرحيم  بيان صادر عن المقاومه الاسلاميه  بعد قيام الخبراء المختصين في المقاومه الاسلاميه بتفكيك ال…
140,0,القاعده الاولي للعاميه ان تكون الفصحي مرجعها والقاعده الثانيه ان تكتب كما تلفظ وكلمتك تلفظ ت وليس ط وانا علقت لانك شخص مميز
141,0,كلاب السفارات تنبح ضد الحشد الشعبي المقدس ابطال التحرير مع اخوتهم من جيش وشرطه اتحاديه  القافله تسير والكلاب تنبح…
142,0,لماذا حرب تموز هي البدايه   ؟   لان شراره بدايه الحرب علي محور المقاومه كانت في تموز  واستمرت الي يومنا هذا  في تغطيتن…
143,0,بعد كلمه سماحته  المقاومه تردع العدو وتمنعه من المغامره بالحرب والنصر يكتمل عندما لا تساوم الدوله علي تضحيات المقاومه…
144,0,صور حركه الجهاد الاسلامي تنظم وقفه في غزه نصره للاسري المضربين عن الطعام
145,0,بدا ثوره علي كل شيثوره علي نفسنا كمواطنين لنعرف مين ننتخب وكيف نحاسب ومن بعدا نثور علي الوصلونا لهون
146,0,المثل يقول اكذب اكذب حتي تصدق نفسك هل تعلم ان من تسميهم احرار في بدايات الثوره خرجوا الي قطر من ا…
147,0,ويذبح اليمنيون والباكستانيون والكشميريون خوفا من خروج المهدي  ونشوء جيش تحرير القدس والله سيخرج من بين ظهرانيهم
148,0,عاجل  اصابه جندي من جيش الاحتلال بجروح خطيره جدا بعد انفجار لغم ارضي علي الحدود مع الاردن مصادر عبريه  …
149,0,الاحتلال الاسرائيلي مستيحي يعني يعمل حرب   ؟   خلصونا يابلشوا يابلا هل حركات  الحرب النفسيه هاي فاشله
150,0,🔺عاجل  قوات الحشد الشعبي  اللواء  يدمر مضافه ل داعش جنوب غرب عكاشات  العراق الانبار  اراده النصر
151,0,تقول ايران اعلنت الحرب علينا بحشدها الشعبي في العراق والمعروف ان الحشد شكل بفتوي عراقيه لصد داعش و…
152,0,اولا مؤسس داعش هو الزرقاوي معلومه للاغبياء الاعرابين  وثانيا مهما تعددت التسميات يبقي داعش…
153,0,القناه  العبريه تستعد اسرائيل لرد من حزب الله اللبناني لذلك نشر الجيش كتائب مقاتله في الميدان ورفع درجه الاستنفار من…
154,0,تم اصدار قرار بانضمامهم للجيش والي متعين بدوائر الدوله يرجع لوظيفته انتوا ريحوا نفسكم
155,0,كان هدف نور الدين ان يربط الناس بالتحرير واستعاده القدس من خلال منبر يوضع في الاقصي عند تحريره تلقي منه الخطب الي ارجاء حواض…
156,0,الثوره الارتريه  ١٥ عاما من الكفاح المسلح ١ ايلول ١٩٦١  ١ ايلول ١٩٧٦  مركز الاعلام الخارجي لجبهه التحرير الارتريه  …
157,1,جماعه سبايكر مان الخايس اللي سلم نص العراق لداعش زربتوا بالدوله الفساد والمفسدين هم سبب دخول داعش
158,0,اي حتي داعش وجبهه النصره يدخلون علي راحتهم للعراق
159,0,العمري يهنيء اللواء ابراهيم بعيد الامن العام  لواء الامن والمهمات الصعبه
160,0,كعاده الابطال حين يرحلون  في زحمه الاحداث  لا يستسلمون  هديرهم يوقظ الف ثوره  وثوره  كانهم ضرب من  الخيال  وال…
161,0,بعدنه عم نعمر من ورا حرب  وفتنه بحرب ثانيه
162,0,يتخذ المتطرفون والارهابيون غطاء الدين لتنفيذ اجنداتهم وتحقيق سطوتهم علي الانسان لاستعباده  داعش
163,0,اليمن المجلس الانتقالي  لم يعد مقبولا محاوله تحرير مناطق شماليه في ظل استمرارهم في توجيه حربهم علي الجنوب
164,0,نحن نحب الجيش وضباطه كلهم ولكن نعلم ان هناك ضغوط وزعبرا خراج ارادتهم وسيطرتهم لانهم جيش كل…
165,0,والخلافه العثمانيه وزوال مايسمي الروم واستمرار الحروب مع الصليبيه عام واستمرار الصليبيه الع…
166,0,الاكثر صداما مع المسلمين طبعا النصاري منذ بدايه الدوله الاسلاميه بفتوحات الشام ومصر الي الدوله ال…
167,0,نعم انه اعلان حرب وعلي اسرائيل ان تتاهب لحرب مدويه من قبل جيش الطنطات جيش تابرني قال حرب قال
168,0,وحين يسالونك عن جهاد النفس الحقيقي اخبرهم ان اصدق الجهاد هو قدرتك علي ان تبقي هذا القلب نقيا صالحا للحياه الادميه بعد…
169,0,الهدهد ترجمه مؤمن مقداد  عاجل  اذاعه جيش الاحتلال  قوات الجيش تمكنت من اعتقال منفذي عمليه دوليب  الرقابه العسكريه…
170,0,نعرف انها حمت الاسلام ومقدسات المسلمين اكثر من  عام  ولديها خير وشر ومثلها الخلافه الامويه والعباسبه
171,0,اولا اين الدوله ياعزيزي في لبنان هناك كذبه باسم الدوله اما الحقيقه ان لبنان مزارع خاصه علي قياس كل من…
172,0,تحرير الارض يبدا بتحرير الانسان
173,1,اين كانت شجاعه المعارضين عندماغتصبت معلوله من قبل جبهه النصره والجيش الحر
174,0,وفد من تحالف سائرون يزور شبكه الاعلام العراقي ويبحث دور الشبكه في نقل الحقيقه وعدم تسيس عملها لجهه…
175,0,حكام الخليج ماتدخلو بمكان الا وخربوه وناصرو الكافرين علي المسلمين  نسال الله ان يخلص اخواننا في ال…
176,0,فريق ما يسمي ١٤ اذار  يبكون علي قرار الحرب والسلم  يقولون انه بيد الدوله  هل الدوله قادره علي ذلك  هم يرضون  ان يكون …
177,0,سياده اللواء  كنت طالبا في الابتدائيه وطلب المعلم موضوعا انشاءا عن تحرير فلسطين فكتبت له مثلما تفضلت بهذا…
178,0,اولا الثوره السوريه هي ثوره ضد الظلم والديكتاتوريهومن اجل العداله للجميع لكن قائدك وجيشك…
179,0,الجبهه الشعبيه او حماس او جهاد الاسلامي او لجان المقاومه كلهم مؤيدين لايران لانها الدوله الوحيده ال…
180,0,قبيسي لم نقل ان المقاومه هي بديل عن الدوله او الجيش
181,0,اجت الدوله لتحل مساله قامت القيامه وصار في عزل وانعزال وتعزيل وركضتوا كلكم تتامرون علي الدوله  اليوم شو الم…
182,0,حرب ناقلات في الخليج  حرب طائرات مسيره في الشمال  حرب اعلاميه علي كل الجبهات  انه يوم الامتحان  او ١٧٠١  او لا دوله
183,1,طيران الصهاينه الان يقصف جيش الاسد في دمشق هل تعلم اين طائرات الجيش السوري الان ايضا وفي نفس التوقيت   ؟   …
184,0,المهم انو جماعه العهد القوي اخدوا كل تعينات المجلس الدستوري  الاشيا الثانويه متل حرب وما حرب ما بيتدخلوا فيها 😂😂
185,0,هو كم شلعوط من داعش اسروا جنود الجيش اللبناني والدوله بطلت عارفي حالها شو تعمل بدك تقاتل اسرائيل   ؟
186,0,كم يبدو غريبا ذهول لبنانين من انكفاء الدوله والحكومه عن مشهد الاضطراب الكبير علي الجبهه مع اسرائيلالذهول نوع من ن…
187,0,اكره الخوض في الامور التي تتحدث في العرقيه والطائفيه والمناطقيه فالثوره واضحه وصريحه هي ثوره شعبه ليست فئه او عرق او طائفه…
188,0,روسيا لافروف تحرير الجيش السوري لاراضيه لا يعد خرقا لاي تفاهمات بما فيها استانا وسوتشي
189,0,روسيا لافروف لا يمكن بعد تنظيم الدوريات المشتركه للجيش الروسي والتركي في المنطقه المنزوعه السلاح في ادلب
190,0,بعد الضاحيه استهدفت اسرائيل مواقع للجبهه الشعبيه في البقاع  انها حرب  الدوله مسؤوله عن لبنان  او تكون علي قدر المسؤوليه او تس…
191,0,صح كلامج  الكل يريد ينفذ اجنده بلاده بالعراق  والدوله عباره كرش لابس بدله لا تحل ولا تربط وماع…
192,0,طالما يخص الجهاد فلسنا بحاجه لقرائته  المجاهدين اللي شفناهم سدوا نفسنا
193,0,مواقع اعلاميه معارضه  احد المسلحين المنتمين لداعش يفجر حزامه الناسف بعد محاصرته من قبل مسلحي هيئه تحرير الشام…
194,0,من حرب الناقلات الي حرب المسيرات
195,0,انا لا افصل بين تحرير المراه وتحرير الوطن  نوال السعداوي
196,0,ما كنا نتوقع ان الشرعيه تتحرك بهذه القوه وبهذه السرعه ضد الجنوب بينما جبهه نهم نائمه ٥ سنين فقط يقيمو الاعراس والم…
197,0,الاقلام محامي جبهه النصره وداعش معروفين  وعم يستميتو بالدفاع عنهن وهم يعلمون تمام العلم انهم ارهابيون لو…
198,0,بالصور تشيع مسؤول الدعم اللوجستي للواء  بالحشد الشعبي كتائب حزب الله والذي قتل بغاره جويه غرب الانبار
199,0,مكتب اعلام الاسري جيش الاحتلال اعتقل  مواطنا في يشنحمله اعتقالات واسعه لدي انصار حماس والجبهه الشعبيه في الضفه المحتله…
200,0,جيش الاحتلال ينصب القبه الحديديه شمال فلسطين المحتله في ظل تصاعد التوتر مع الجبهه الشماليه لبنان وسوريا
201,0,اللواء متقاعد عبدالله القحطاني  المملكه دائما تتعامل مع كل الدول الاسلاميه بنفس المنهج وهو التعاون لايجاد علاقات…
202,0,الدوله بتسال وين الدوله
203,1,ثوار جهاد النكاح لاي دوله تابعين بعدك بتحكي بثوره انتو مجموعه متخلفين
