ANOMALY,FULLTEXT
1,اباقاش تسكت وله  اسكت ياقرد العقاب لوهاب وهاب قاتل ابو دياب
1,للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف
0,سوف تبقي سوريه وفيه ومنتصره رغم كل الاوجاع وتبقي صامده في وجه الاعداء سوريا التي حاربت كل الدول العرب…
0,علي الرحب ياجماعه السدس
0,مهما تستاجر اشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه…
1,وقت تشوفوا وتسمعوا جبران باسيل متل لما الشيطان يسمع كلام الانجيل
0,كل الاجلال والاحترام الاوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانين في محنتهم والعراقين والفلسطيني…
1,اذا جبران باسيل يقودكم والجاهل شيخ الجاهليه يصفق للقرد  اكيد بيكون ي…
1,احقر جريده بل الوجود
1,رزق الهبل عالمجانين اه ياهبيله
0,لما تعلق كل يوم بعجقات سير خانقه لازم تفرح وتتذكر انك عايش ببلد منتج وقوي اقتصاديا وماليا وقوي اجتماعيا ومعيشيا وكل شي فيه قوي اجلك
0,ما تفضلت به ياخي هو منتشر منذ عقود ومنذ قررنا كلبنانين ان…
0,والله لو في دوله ما تركتك انت ورئيسك
0,يجب محاربه الفساد
1,خلعتك ضربه ع وترك الحساس تا فعت هالفوعه  ؟    ؟   هه الله يشفيك ياحمار يازباله
0,متل نبيه بري
0,اننا موحدون توحيدين الي يوم الدين ✌ ✌ ✌
0,يرحمها ويصبر اهلها
1,ولك استحي بقي ما في عا لسانك الا سوريا
0,يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي
1,وشو بتحب نقلك ياتافه
0,وطن التعايش والحريه  وطن الصدق والمحبه هذا كل ما نحن بحاجه اليه لنحصل علي هذا الوطن علينا ان نعد شعب واعي…
1,ضيعان الفهم يادكتور   ؟    ؟
0,طيب خلينا بالنص ايران كاميرون
1,وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها
0,بيكي اندرسون تسال جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها برديه زجل عن الشعب اللبناني العظيم…
0,مين جاب سيره عقده اغلبيه الشعب اللبناني جبران باسيل  ؟
0,نصرالله كلام وزير الخارجيه جبران باسيل عن ضروره حل مساله اخفاء الامام الصدر كان مهما
1,قطر اختلفت مع كل المحيط العربي لانو تحالفت مع حليفك الخامنئي  حليف حليفك يعني حليفك كيف سياستكن ياشياطين ما بعرف
1,يا بلا مخ ياحيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرمايه يعمل خلاف روح نقبر ضب زعرانك ع…
0,كلمه جبران باسيل اخجلته واخجلت كل الامه العربيه
0,فعلا زمن الرويبضه ومناسب جدا
1,يا عمي هيدا الزلمي جاهل
1,العاهر الكبير عون…
0,صباح جميل كجمال قلوبكم
1,وانت وبيك شو حقك فرنك فرنسي يعني ولادولار
0,دبي رزقها الله ب محمد بن راشد عمل علي تنميتها وادارتها كاحسن ما تكون التنميه والاداره زرتها قبل س…
0,هذه عمامات سوداء طلبت بالابيض
0,صحافه اردوغان بلشت تخوف اوروبا من موجه لاجئين جديده شكله الحدود التركيه رح تتسكر بوش يلي بده يحاول يطلع من ادلب
0,مرحبا يارجال قلعه الممانعه بيسلم عليكن ابن رامي مخلوف من دبي وبيقلكن اصمدو وموتو كمان شوي جاي الصيفيه وسفرت الكوت دازور مكل…
1,ما هوي لو بياكل سرمايه بعيد عنا بقول يعدمني يافكروا اذا بصرخوا صوتهن بيوصل
1,يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك  ؟    ؟
1,فهمتوا ياحقودين ياجماعه الحركه
1,انت صنفتو بخانه الخيانه وهيدا رد علي ردك ومش كل الادويه فعاله وان شاء الله الكل بيفتخر بشهاده الحريري
1,هذا ردي له نعم انا سعودي  وكلي فخر راسي فوق انتم ما قهركم وداعس علي روس…
0,ال  مبلشين من الليله بالحمله ع جبران باسيل ب منا وجر
1,هي وصرمايتي سوي
0,ربما يكون عماد عثمان بمثابه صندوق اسود للمشنوق
0,سليم عون لا يستطيعون التصويب علي ​الرئيس ميشال عون​ فيصوبون علي رئيس التيار ​ جبران باسيل​ او علينا لسنا مكسر عصا لاح…
0,دائما انت علي حق ❤
1,خليك بي الجاهليه لانو ما الك الي الجهل تبعك قطر ام العرب وام لبنان وستبقي قطر والخليج اسيادك يافار من العداله
0,ياريت شعبك بيسمع واذا سمع يوقف واذا وقف يحدث الفرق شعب لبنان تعبانه
1,ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك
0,الوزير جبران باسيل كان اول من طرح موضوع عودتهم الي بلدهم ليس انطلاقا من موقف عنصري معتبرا ان الجميع لاحقا التقوا علي ا…
1,دئما يلحق بك الدمار
0,كل الميليشيات تكتلت تتواجه جبران باسيل مش غريب ما حدا قدر يلاقي دليل يحارب جبران فيه  ؟    ؟   مياومو الاعلام
0,احي ياقضاء
0,هل انت سياسي بالبلد او لا   ؟    ؟
0,وطننا يحتاج الي طبقه حاكمه غير فاسده
1,لا صديقي مو عيب واحد قاتل واحد اداه بيد قاتل
0,احضر لي تصريح واحد تقول فيه اسرائيل ساحرق ايران والايرانين ولبنان واللبنانين او سوريا والسورين …
1,يلعن روح حافظ ابن ستين الف كلب دمرت البلد وقتلت مليون وهجرت ملاين وتقول قد  قد لا يكفي اعدامك لمره واحده
1,الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعيه من بلدنا ليرجعوا النازحين يلي احتليتوا اراضيهم وهجرتون يامجرمين
0,لو سمحت واحد صالونه لحم وعيش شلاني واحد سف اب
0,و هو بذاته يلي عمل فتنه بالبلد وهو كمان يلي بيستخدموا نظام الاسد مثل الدومينو وهو ك…
0,الرجل ما قال امن اسرائيل حق  نصيحتي للوزير جبران باسيل يحكي اللغه العربيه بايه مق…
1,كول هوا مش شغلك
1,عايشين علي اشحاته هذا طبع اشيعه يعشون مرتزقه
1,اشبو ذا يسجل كول حاجه تراها مباراه مو محاضره هوا
0,يا ياسين الزلمه ما عندوه سيوله اخذت منوه بدوه حدا يسكت تمه بشويه مصار…
0,جبران عفلق حبش الخ علي الطريق
0,جبران باسيل جمع يلي ما بينجمعوا
0,نتائج كتاب العدل تجربه رائده لم تاخذ اي حساب طائفي او مذهبي وهي تجربه يجب ان تعمم مبروك لوزير العدل وللجنه القضاه هذا الانجاز
0,فعلا لا يناسب الا زماننا في زمان علي فيه صوت الرويبضه لكن عندما تحين الساعه سيعود كل الي حجمه ولو كا…
0,فهمان خدمه الناس غلط
0,شو بدك من علاء الخوجه  ؟   ما تعبت وانت تصرخ عليه انسي الموضوع ما رح يعطيك مصاري
0,سوف يتحاسبو جميعالان الحق سلطان
0,سبحان الله تقولي حقيقه
1,ستموت بحسره الخواجه ولن يعطيك شرف التحدث معه وابتزازه ايها الازعر السفيه ضبضب
0,جبران باسيل لل ربما علينا ان نعلم واشنطن ولندن كيف يديرون بلدا من دون ميزانيه
1,زحيف
0,ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر
0,شو راي العماد عون بتعليقك
0,لك كانت صفر صفر رحت طالعت الكلاب يشخوا كم دقيقه رجعت
0,كم سهرنا من ليال للصباح لا ننم
0,لو بتخفف بس كنت اول المعجبين بقطر بس دعمت لجنوب وعمرتو بعد حرب تموز او اخدت من لغنيمه وس…
0,كلمه جبران باسيل في القمه الاقتصاديه تحتاج الي سدادات اذن
1,جبران باسيل لا يقل عماله عن حسن نصرالله
0,انا اتمني سليمان فرنجيه لكن شعوري بان جبران باسيل سيكون الرئيس القادم
0,في مواقف وزير خارجيه لبنان جبران باسيل المؤيده لبشار الاسد ما هو ابعد من السياسه التفسير في الطائفيه الفاقعه التي يصدر ع…
1,شيلل للفهم  بس ما قلتلنا انت عمين محسوب عل عاهرات او السياسين
0,خليك مخبا ب الجاهليه
1,جبران باسيل مهضوم كتير قال بدو يعمر سوريا وهوي ببلدو لبنان مش قادر يعمر مجرور
0,عن اي دوله عم تحكي  ؟    ؟   عن عهد التبعيه والفشل والجرائم والفساد والصفقات يللي عحساب كل المواطنين  العهد يل…
1,هه كول هوا
0,انتو ياجماعه اوسكار ما خصكم بعلاقه جبران باسيل فينا
0,جبران باسيل يؤكد جراته مره اخري بحديثه في المؤتمر الصحفي مع ابو الغيط عن تاثير الدول الغربيه علي قرار القمه السابقه ب…
1,وفد  يازلمه شو هال مسخره انت  ؟
0,صباح الانوار انا بس عم حاول افهم
0,البيوت الحمرا بل المرجه  والجامع اشرف واطهر منك
0,هيدا الصحيح سلمت يداكي
0,انا بقول الحق علي جبران باسيل
0,تلات رؤسا متقاسمين الصلاحيات اكبرهم سنا ميشال عون ما بيتدخل بشي بس بذات الوقت توقيعو اساسي لنفا…
0,انو بشرفك الكاميرات ما كانو شغالين
0,لما تقلك اولا مش طايقتك شو الو لزوم تانيا  ؟   😎
0,شيء خطير هذه المقاله الاولي
0,يحتاج شعب جديد الي ثوار
1,اخرس يايها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس الي مزبله التاريخ
0,انا وعم بحضر عل اليوم اختصاصيه تغذيه لاحظت شغله ليه كل اختصاصيات التغذيه بيحكوا بنفس الطريقه  ؟   😀
0,شو قصتك انت واللواء عثمان  لهالدرجه قاهرك ما في تغريدات الا عنه وعن الشيخ
0,لو في دوله محترمه واحد متلك اطلق النار علي قوي الامن كان مكانك بالسجن اقل شي
0,وهاب يتحدث عن انجاز يسجل للرئيس عون
0,يا جماعه اللي بدو يدعي او يكبر او يصلي او يختم القران بامكانو يعمل كل هالحكي بعيد عن تويتر بنوبكون ثواب اكتر لانو الرياء با…
1,ويل لامه تولي عليها مجموعه من الارذال
0,للاسف ياعزيزي نزار زكا لايملك المال والا كان تحرك جبران باسيل كما فعل بخصوص كارلوس غصن
0,اول شكر كان للوزير جبران باسيل شو راي الشباب   ؟   بتوقيت نصرالله
1,مستحيل يكون في اوسخ وانجس منك بالكون ياديوث
1,كذبك يايوب كذاب ونص جبران باسيل انظف من ضميرك
1,شكرا لكل الابواق الماجوره وغير الماجوره في افتراءاتها اليوميه علي جبران باسيل امنتم له شعبيه ما كان ليحلم بها الي…
1,صباح الكسمك ياميونخ يامدينه خري بنت وسخه
0,لبنان علم العالم الابجديه وكيف بيمشي البلد بلا دوله
0,ما عطيوك شي غرفه فيه بلاش
0,ليش مننفهم انو نحنا حاقدين عالعالم لا ياجماعه القصه وما فيا مالهين جبران باسيل وشايفين حالنا فيه وبفتكر بحقلنا لاقوا اذكي…
0,يا استاذ وديع انتم جماعه مثقفين معهم لا ينفع اي شيء حرام ان يكون لهذا البلد رئيس مثل العماد عون ومثل جبر…
1,انت حثاله
0,حماك الله
0,اي يعني شو بدي قلك علمهن ت يعيشوا بالبحبوحه زي…
0,جبران باسيل كم جميل مثلا ان نخرج علي شعوبنا بسكه حديد تربط بلداننا بخط غاز ياخذ غاز لبنان الي العراق ونفط العراق الي ل…
1,الارهاب السعودي الي مزابل التاريخ وكل مين بشد علي مشدها السؤال لماذا هذا الاستهتار ويجب علي سوريا…
0,يعني لو الست ديما كتبتاعتذر عن الخطا كانت وفرت علي ما لا يقل عن ميغابايت من عجقه التايملاين الناجمه عن احصائياتها الخزعبليه
0,الاسود للحريمات؛الفوشي يليق بي
0,لو في دولي ما كان بعدو عماد عثمان خارج السجن
0,انه انت بتحكي لتحكي  ؟    ؟  مين جاب سيره الهبه  ؟    ؟  كل الشعب اللبناني الواعي والمثفف عوفان انه واديعه بس انت ش…
0,مش شغلتي حبيبي فاضح حالو بلا جميلتنا  بس عجبني تفكيرك
0,وطن التعايش والحريه  وطن الصدق والمحبه هذا كل ما نحن بحاجه اليه لنحصل علي هذا الوطن علينا ان نعد…
0,وهاب مع الحكومه الجديده يجب ان يكون ملف اقاله اللواء عثمان علي الطاوله لبنان
0,ايه هيك حلم جبران باسيل بدو يعمل هيك
0,هو فقط قال الحقيقه ما قدمت قطر للبنان ليس منحه ا دعم او هديه ه قرض بنسبه
0,جبران باسيل لم يقدم هو ياخذ فقط بتحط نفسك بمواقف بايخه
0,قبل ما تترحم وسام الحسن كان مشارك بقتل الحريري والحريري كان عارف ومن اغتاله للحسن حتي ياخذ ثئاره لوالده…
1,ما باثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب…
1,لاتعرف اسئل حزب الله وخروفه باسيل
0,قل كلمتك واصمد وهاب ما بيهاب
0,لا تفرد ولا الغاء نعم لتحرير الطائفه من براثم الاستبداد
0,واكبر دليل للي بصدقك يابن شعبان
0,مافي غير جبران باسيل الي عم يلعب ب النار تحت مراي ومسمع رئيس الحكومه
1,اكيد خلف ومات بس شهيد يافهمان
1,كان بدري عم يقبض حق تغريدته مبارح ضد قطر
0,روح ع دمشق يامان شو بعدك ناطر هه
0,قويه
1,انا اكتشفت ان اللواء عثمان داعس رقبتك وراسك بصباطو الرسمي ياحمار
0,لو ما في سلاح حزب الله كنا شفناك بالسجن كنا شفناك عم تتحاكم لانك قتلت محمد بو دياب كنا شفناك متل…
1,شي بيهوي
1,هه موتي بغيظك لكن 😎
0,اما علاقتنا مع جبران باسيل فهناك صداقه بيننا وا…
1,سينهار اكثر واكثر لطالما نموذج وئام وهام موجود في مجتمعنا
1,اضف الي ذالك انه داعم لايران وحزب اللات
1,ارفعوا العشره مشكلتكم ما الو خص علاء الخواجه ياصاحب الصرامي
1,انت بدك طبيب نفسي
0,ليك ياوئام وهاب سماع شو بدي قلك كل يوم عم تحكي علي دوله لكانت للغرب او للشرق وهني مع بعضهون بالف خير ب…
1,والله الحذاء خساره فيهم
1,كول خرا عقبالك لما تجيك صرماي بخلقتك
1,انت متهم اول لانك اكبر سرمايه عربيه
0,جبران باسيل رجل عنيد يطالب باسترداد حقوق المسيحين التي اخذت منهم في الطائف لهذا هو مكروه من ترويكا الطائف والفساد
1,جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسين واطين
0,جبران باسيل من حق اسرائيل ان تعيش بسلام بين جيرانها وبالامس من حق اسرائيل ان تضمن امنها
1,كول هوا ما حدا غير امك مركبه راس حمار
0,لك يارافعه معنوياتي انتي
1,قديش صرت كاتب سمعت شي مره البيك تطلع عليك او رد يامفتن الطايفه يابن شعبان  ؟   الله لا يوفقك كما قالوا…
1,كول هوا خسرتو بارضك وبين جمهورك بعد ما منعت القطرين من تشجيع جمهورهم انتو فاشلين في كل شئ وهم متفوقين عليكم في…
1,اصمت ايها الذبابه المريضه العقاب لوهاب وهاب قاتل ابو دياب
1,مهما تامر المفسدين وتاجرو باسم سيعرف العالم بانهم عملاء متصهينين
1,كول هوا انت ودانيال
0,والنعم من تربيتك
1,شو بدك باسمي احترمي حالك واحترمي ديننا الشريف وتوقفي عن الكذب وقلب الحقائق والتغطيه علي من ن…
1,يلي بدو يجيب سيره الوزير جبران باسيل بالعاطل بدو يسمع كلام اوسخ من اعمال حركه امل
1,نص البلد من راي ياسخيفه
1,والله انت من يحتاج الي طبيب نفسي وعساك ما تطيب
1,كل كلاب ال سعود مكانهم قفص القرود
0,خصوصا ان سي ان ان طردت
1,وانت شو تعتبر حالك وانت موالي لهذا الحرباء جن بلاط هه
1,لايام جايه راسكن بلارض راح يكون ياعملاء ايران
0,جبران باسيل بتحبو او بتكرهو ما فيك تنكر انو قبضاي وببيض الوج كوزير خارجيه سيادي وطني لكن تبقي مشكلتي معه ان حزبه يؤب…
1,هه ياهبيله مين جاب سيره تميم وقطر غيركانت بتقول انو امير الارهاب طميم
1,تشتهي تشوف صرمايه مقطعه من شحاحيط السلطان يرد علي كلامك؛الشحاحيط حافظين الكلمتين الخرا تبع عرب الشمال واللاجئين المشردين وبس تتكلم اي كلمه ما تعجبهم لازم يطقعوها من زلاعيمهم مثل الجواميس تفه علي شرفك اذا عندك جنس الشرف
0,وما تنسي انو الشيخ نعيم حسن هو الشيخ العقل المعترف به من الدوله ومن الحكومه ومن الزعيم وليد بيك جنبلاط
0,معالي لبناني وطني مش سعودي ليسافر
1,ومبعوصه من انه الديمقراطيه مترجمه من ال وبدها الملسمين يقولوا شوري طيب ياقلبي الشوري عند داعش والسعوديه احنا بدنا ديمقراطيه ياكندره
0,فالرئيس السوري يثمن ويقدر مواقف فخامته وزير الخارجيه جبران باسيل التي تنبع من رؤيتهما الاستراتيجيه للصراع في الشرق الاو…
0,بدك تعمل برنامج ينجح  ؟   حكي عن جبران باسيل مياومو الاعلام
0,كيف بيقدر هالحكم يعلك ويصوفر  ؟   🤔
1,البلد عم ينهار بوجود العهد القوي وليكو عالهبيله العوني وين راسوا
1,هيشش هيشش
0,منذ الثامنه صباحا وانا اتابع خبرا عن تطورات قضيه خاشقجي علي قناه الجزيرهو لسه الخبر ما خلص حتي هازهي اللحظه
0,واضح ان السيد نصرالله الليله بكلامه يرمم العلاقه مع التيار الوطني الحر
1,وهذا ردا علي شعرك وشعرك ياصلع وزارع الشعر المستعار
1,الله يلعنك ويلعن الي ما بيلعنك
1,فيلم فاشل ياتعول الافلام والكاميرات المعطله
1,وئام وهاب الطائفي سبق وصف المراه السعوديه بشوال الفحم للاسف الامارات لم نعد…
0,قال تعاليمن عمل صالحا فلنفسه ومن اساء فعليهاولاتستوي الحسنه والسيئه ادفع بالتي هي احسن وقل سيروا…
1,لابارك الله بك وبامثالك ياهذا
1,قهرني الله يقهره
1,كول هوا ماخدا ارهابي غيركن
0,يا ريت نفوسنا بجمال ونظافه وطنا شو كان عبالنا المشكله مش بالوطن استاذ وئام مشكلتنا بالشعب ثم بالدوله…
0,كل ما عنا صلاح بهل طيفه من مشايخنا وليد بيك لا خوف من ابواق لاسد وتصحيح وزير سابق في حقبه النظام ال…
0,عم تحكي بقلوبنا دايما ✋
0,شي مفتخر للامانه
0,لا ما حدا عم يزايد عليكن بالمقاومه انتو مقدمين الاف الشهداء واسرائيل بتحسبلكن الف حساب بس جبران باسيل اخطا بحقكن وحق…
1,عندما يقال ياشحاذ يظهر لك باسيل جبران
0,وزير الخارجيه اللبناني جبران باسيل امير قطر كسر الحصار علي قطر في بادره لكسر الحصار علي القمه العربيه التنمويه القمه ال…
1,الله يلعن لي بشرت فيك وقت خلقت
0,قدح وجم اذا ربحت رح اعطي نص المبلغ ل جبران باسيل
0,احساسي انو كان بدك تقول ضابط سوري مش سوي بس يمكن لانو بعدك بلا غدا وجوعان فاكلت ل اعترف اعترف
0,دعهم يتلهون بفتات الاخرينلنا زعيم قائد وشيخ عقل ولا نعترف بمن لا يجرا ع…
1,مع انك قذر واطي بس اوافقك الراي
1,الخلع والكسر يستخدمه ابو منشار الاخرق في كل مكان ياجربوع
1,الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانين ابتداء باسرائيل ابو عمار ناصر حافظ معمر صدام الخميني…
1,الروس المفروض ينشهروا بالوقاحه مو بالڤودكا
1,الله يلعن الاخوان المسلمين وبلي بذرهم للمره الالف علي التوالي اناشد رئيس كوريا الشماليه المحترم كيم…
1,جوز كذابين منافقين…
0,مين هالشيخ  ومين وهاب ومين طلال  مع بعضن مش مخلصين لا بالدني ولا بالاخره …
0,لا تندهي يارابعه ما في حدا
0,بالتاكيد جبران باسيل سيجعل المسيحين ينسون شيءواعتقد سيكون الحليب الذي رضعوه
0,السنه مفهوم بس الشيعه ليش  ؟
1,ابنك ذكي ياثريا بس حمار العقاب لوهاب وهاب قاتل ابو دياب
1,ضرط الزمان علي الاندال فعلاهم
0,هاهاهاها هاهاهاها عنجد حبيبي شو عم تحكي والله يابيبي انا ما بعرف شو يعني صهيوني بس شفتو…
1,شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح الا هذا الشخص للتذكير وئ…
0,مش مهم متي حصلت ولكن هذا الفعل نحتاجه في لبنان بشده من اجل كل السياسين بدون استثناء من كبيرهم الي صغير…
1,لا انت ولا معلمك فيك تدق بصرمايته ياصرمايه عتيقه
1,يخرب بيتك ذو ذكي من اي حظيره حيوانات فلت هذا البغل  ؟    ؟
0,اخر فضيحه
1,لازم يلغي هالنظام المعفن الكائفي الذي لا يستولد سوي طائفين فاسدين عفنين
0,سعد الحريري من يوم يومه يخدم الناس سعد الحريري رجل الاعتدال والانسانيه والكرامه لو لا سعد الحريري لكان…
0,ليكو بيكتب عربي هايدا شو اسمو ايه والله لك ليخرب عقل لشو بدك فيما تقلع علي حالك وخليك باليت
0,يالله ابدا لشوف يابطل نبيه بري سعد الحريري حسن نصرالله امين الجميل جبران باسيل نقولا فتوش ولي…
0,هي وقفت علي زعابيط التويتر في زعابيط عملوهم وزراء ونواب
1,والبلطجي جبران باسيل المال لمعه حلال ولله حراميا شيخه
0,صح للحقد ولا البغض راح يوصلوا لنتيجه ياريت بيستحي علي كبروا عيب بالنهايه اهلا وسهلا ب…
0,قبل ما تقترح شوف نفسك علي المرايا
1,انت حقا وقح عاهره تحاضر بالعفه
0,جبران باسيل لان فيه نشم رائحه الغيره والحماس لكرامه لبنان
0,وهاب غياب سوريا عن القمه العربيه افقدها اهميتها
0,نحنا جماعه ديلفيري م منفهم نترجم كلام المثقفين امثال جبران باسيل اوك
0,عم تحلم
1,نتمني انك تخرس خالص
0,عم يتسابقو بتحريف وبقلب حقايق مقابله جبران باسيل يلي واضحه متل عين شمس متل ما وطنيتو واضحه متل عين الشمس وابداعو وفخرو بل…
0,بسيطه هلق بيفقعون خطاب كلو مشاعر وشويه طائفيه بيمشي الحال وبتروح الريحه
0,مين قدر يوصل رساله وجوب مشاركه سوريا بالقمه العربيه وعدم مقاطعتها بطريقه افضل نبيه بري ام جبران باسيل  ؟   الاول استعمل البل…
1,فلوس قطر مهمتها السيطره علي الحيوانات والبهايم وفي الاخير يشتغلو في القواده هذه نهايه كل شخص يدخل او يهتم بقطر
