offensive,ANOMALY,FULLTEXT
0,0,اخص يااكسو يامشاهير انتم
0,0,هم يايفوزون ياالسالفه مغشوشه دلوعين حيل وش زيننا امس رضينا وما جدعنا حتسي علي رئيسنا ومدربنا🚶🏻‍♀️
0,0,يابنتي خدي قلبي يابنتي مش عوزاه❤
1,0,يا اويحيي ياالكلب تفوسامحوني خاوتي حاشاكم زاد جاني فالبال
1,0,نمت ساعه وكل شيء احسه ياارق ياابن الكلبه مو وقتك ورب البيت مو ناقصتك
0,0,اللهم اجمعني بمن احب🌹 وانت ياريان يارب يسعدك ويوفقك ويسهل امرك
0,0,قدح وجم   القط بيحب خناقه  قط بسبع ارواح  ان غاب ياقط العب يافار  زي القطط تاكل و
0,0,ياجماعه نحن بالظبط في الحته دي يانواصل يانرجع ونكون قطعنا مشوار عالفاضياعتصام القياده العامه
0,0,اللهم اجعل قبره روضه من رياض الجنه ولا تجعله حفره من حفر النار واغفر له يارحمن وارحمه يارحيم وتجاوز عما تعلم ياعليم امي…
0,0,ياهايف الخصرين يامنور بالبيتيا جيد ريم نافل عن مثيلاتهوعيون حور تحي بها وتميتنظرتك تشفي صويب منك ويعاتهارحم رحمك…
1,0,كفايه وساخه با سيبو جروس يكمل شغل علي نضافه وله الحته الاهلاويه ظهرت عندك يامرتضي يامعرص وعاوز تشتت الزمالك ادعم جروس
1,0,😁😁 يامدحت ياشلبي ياابو بيضه ياطعميه ياهلالي يازعيقي ياطاقيه اذا كنت في نشوتك وفوز الهلال نراك تتحدث مصري واذا…
0,0,اسئلك ياملك يامن الملوك فقراء بين يديه اللهم اقضي حوائجنا وحوائج المسلمين اجمعين
0,0,كلمه  حبيبي  فضلت حتي في الفراق  يا حبيبي شو نفع البكي فيروز الوحيده اللي كلمته بمنتهي الرحمه والحب وقالت  الله معك ياهوانا يامفارقناحكم الهوي ياهوانا وتفارقنا   الوحيده ال بعد سنين فراق قالتله  كيفك انت   ؟ ولا لما قالت  ما رح ترجع بعرف انن غيروك ياحبيبي وعذبوني وعذبوك
0,0,الف سلامه ياساسي بنحبك ياساسي❤❤ان شاء الله ترجع بسرعه واحسن من الاول ياعالمي❤
0,0,وباسمائك التي غلبت اركان كل شئ  وبعلمك الذي احاط بكل شئ  وبنور وجهك الذي اضاء له كل شئ  يانور ياقدوس  يااول الاولين ويا اخر الاخرين  اللهم اغفر لي الذنوب التي تهتك العصم  اللهم اغفر لي الذنوب التي تنزل النقم  اللهم اغفر لي الذنوب التي تغير النعم
0,0,الف مليون سلامه عليك ياسهل يامايسترو وان شاء الله ترجع بسرعه واحسن من الاول
0,0,يا عاذرني قبل عذري ياقابلني مثل ما اكون
0,0,يا كسفتك ياحازم حازم 🙃
0,0,والله ان شالله تشتي تلج برده طلعنا الصيفي وهنلبسه  خشي يابت ياسعديه البسي الشميز الاصفر
1,0,ستين نيله اما تاخدك ياسافل ياحيوان باللي ملقتش حد يربيك ولا يفهمك دينك جتك خيبه انت داهيه تاخدك
1,0,علي اتحاد العار ان يستسمح الشوال ان يلعب المباراه بجمهور ياالف خساره يابلد كل منقول خطوه للامام يجي شويه عاهات يخدونا لوره
0,0,الله الله يابابا وسلام عليك يابابا 💃🏻💃🏻
0,0,سناب شاتيسالوني وانتي اكبر من سوالفهم جميع وانتي اجمل ما خلق ربي بهالكون الوسيع واني اتلاشي بدون عيونك الخجلي اضيع اعذريهم يالحبيبه اه اه يااغلي حبيبه ❤️
0,0,الله يبارك فيك يااحمد تسلم يارب وعقبالك ⁦😍
0,0,كم اشتاق لك يااحلي الورود يااحلي حلم يافرحه في نفسي تجود انت زمزم ماي عيني امي حبي وانت عمري حتي مماتي💔
0,0,ياستي لا ياستي 😂😂
0,0,نحن مين بالضبط يازيدان يامتخفي 🌚😂😂توتنهام اياكس سيتي ليفربولكلهم خصوم وصلوا مرحله مش بسيطه وممكن يكونوا تهديد لحظوظ البرسا نقول يارب ❤️
0,0,ياحيا الله ياحيا الله
0,0,الاهلي الهلال والنصر الاتحادتكفون ياجمهور النصر تكفون يااوفياء طلبتكم طلبه الحضور ثم الحضور ثم الحضور لا تحرمون نجومك…
0,0,يا مغيث  يامغيث  يامغيث اغثني ويسر لي امري وفرج همي واشرح صدري وارحمني برحمتك يارب اغفر جميع ذنوبي التي اعلمها والتي لا اعلمها  يارب انت الكريم انت الغفور انت الحي القيوم يارب ان كان هناك ذنب يحول بيني وبين استجابتك لدعائي فيارب اغفره لي وارزقني من حيث لا احتسب 🌿
1,1,الحين تكتب لي لا تصير عنصري وتكتب هنا خدم حمار انت حمار مثل فريقك تعبت اربيك واربي اشكالك ياصغير الرياضه اشش بس الحوش يالله انت وربعك وخل المنصات والبطولات لعمانك  بلوك كبر وجهك يارخيص ياادعائي مسوي ضاغط وهو مشخوط في تويتر وفي ارضه
1,1,الله يلعنكم ياعبيد يابقايا حجاج روح خذلك موزه ياقرد ✊🏿✊🏿✊🏿يا اسود تفو روحو ارجعو بلادكم الاصلي ياافارقه ختفو ياحمير بس الوم لاعبين ما خبركم تهبطون ياحمير الاتحاد النصر
0,0,والحب يااهل الهوي ياويل من صابه
0,0,يارب يارب ياعالما بالحال عليك الاتكال
1,0,علي شحم ياطاقيه ياعنصري القم بس
1,0,بتغيظكم ياارهابين يابتوع المناخ التشاؤمي 😂😂
0,0,انت حاجه جميله ياخلاثي ياناس ع العثل ربنا يخليكي لاهلك وناسك وافرح بيكي قريب ♥
0,0,يا جمالوا ياجمالوا بشماله حطه لهواحد صفر الملكيابراهيم دي ماريا
0,0,جبال طويق تضرب نفسها امثال بك يافخر الوطن ياعزه وعلوه  بالعزم والهمه السعوديه للقمه
0,0,دائما نستخدم عباره ياليت استبدلها وقل يارب فالاولي جالبه للغم محبطه للهمم والثانيه مبشره بالاجابه والنعم
0,0,يا هوا ياهوا يللي طاير بالهوا في منتوره طاقه وصورهخدني لعندن ياهوا
0,0,جول جول جول جول جول جول جول جول الله الله الله صوتي راح الله الله الله ياقلبي الله ياقلبي الله ياقلبي الله ياقلبي الله…
0,0,حبيبي ياابو السيد ياابو قلب طيب ♥️
0,0,هي القسيه شويه عليا ياصهبجيه  اه يالالي حبه اهات علي ليل علي عيني علي يالالي 🖤🎶
0,0,البنات اللي يقولن ياثلب ويا نصي ويا الشايب
1,0,الف نعله ونار مشتعله بگبركم يااولاد العاهرات سنه كهرباء ما دبرتوهه ياسفله ياساقطين اولاد الساقطين ما بيكم شريف لا اب…
0,0,وهذي 🤔طرقت الباب حتي كل متني فلما كل متني كلمتني فقالت يااسماعيل صبرافقلت يااسما عيل صبري
0,0,الغريب ياشاعرنا ان الفلاح حين يبذر الحب ينشد  يا الله ياالمعبود يامن رجيناهتغني طيور ن لم تبره عمالهفاذا استوت العذوق مكنها رجم بالمجرمه وتخويف بصوت المفقاع بكل قسوه     مسكينه العصافير الرقيقه تغني له
1,1,اول شي ياعربي انت احكي تونسي حتي نصدق انك تونسيثانيا هالشي مستحيل يكون صار عندهم لان حتي لو البنت عندها رخصه قياده سياره الحافله غيرثالثا التونسيات يقودو طيارات ياراس البصل وراس الفجل وراس الهم انتي ياجاهل يامتخلف ياعربي يامريض موت من تونس ومن بنات تونس
0,0,ياسلام علي جمالك يامعلم حفيضه يااخويا
1,0,بس يابت انتي ياعره مسمعش صوتك 😒😒
0,0,ياقبله ﺎلارض يامحراب شعر ﺎلصالحين  ياضحكه ﺎلمسكين ياام ﺎليتامي يالخجل
0,0,حنا الاول حنا الاول ياجمهور ياعالم الازرق بفضل الله الي النهائي🥰🤲👏 الهلال والاهلي
0,0,ياهلا بك  ياغالي في حال تم تحويل نقاط كرصيد في المحفظه عبر الاونلاين فستكون متاحه لمده  يوم  هل تم التاكد من تاريخ صلاحيتها  ؟
1,0,ما كان ممكن تبدا بيه بدل ما تخسر تبديل ياحمار يابن الحمار ياغبي
0,0,ونجومو وقمرو قمرو وسهرو وانت وانا ياحبيبي انا ياحياتي انا
0,0,قاتل الله العونسريه يابدوي ياعونسري كيف تاخذ اداره الاتحاد  ؟ 😂🤣
0,0,يا كلماتي الناعمه اللينه ياهديه اعوامي يابارود الجمال ياالتفاتات دهشاتي كل عام وعمرك ياعمري سعيد ⁦⁩ ❤️
0,0,يا بعيده بالمسافه  ياقريبه بالشعورانا كل اللي اخافه  بعدنا يطول شهور
0,0,يا حبني له ويا وجدي علي شوفه 💌
1,1,يادحباشي يافارسي ياابن المتعه ياذي انت من كل ذكر قطره يابقايا الفرس والاحباش والاتراك حرر غرفه نومك من عيال حسن نصر الله وبعدين تعال تكلم مع اسيادكدحباشي حقير ومتسول في شوارع الرياض وتجي تسب لملك الحزم الذي يدوس علي اسيادك ا
0,0,راي انك ما تفرضش رايك علي حد وما تسفهش راي حداستمر ف دعواتك وحاول تلاقي اسلوب مقنع عشان تقنع الناس برايك لو شايف ان ده فيه المصلحهوتاني مش دعاه الشرعيه هم اللي معطلين الحراك الثوريده راي يابهاء ياريت تكون فهمتن
1,0,شوف ياساري ياجزمه يابن الجزمه يابن السته وستين جزمه يوم حررت هازارد وش سوي
1,0,و ايه فرقه السحالي دي  هو يامحشي ياسحالي يارب مفيش وسط 😅
1,0,كل الناس في القياده الان ديل البجد الكانو بيجو من اول يوم ماعشان الناس محتفله جا يلحق المهرجان ويتصور الناس تجي القياده ودبل فك لكل زول بيشكك في تجمع المهنين ياامنجي ياوسخ اعتصام القياده العامه تجمع المهنين تسقط تاني
0,0,اللهم ياصاحب الفرج  ياعالي بلا درج يامن شق البحر لموسي حتي خرج اخرج كل مهموم من الضيق الي الفرج 🍀طاب مس
